model,backend,precision,crop_mode,num_crops,crop_factors,dataset,num_images,accuracy,fire_precision,fire_recall,fire_f1,fpr,fnr,TP,FP,FN,TN,mean_input_and_metadata_ms,std_input_and_metadata_ms,min_input_and_metadata_ms,max_input_and_metadata_ms,mean_region_validation_ms,std_region_validation_ms,min_region_validation_ms,max_region_validation_ms,mean_crop_extraction_ms,std_crop_extraction_ms,min_crop_extraction_ms,max_crop_extraction_ms,mean_resize_and_preprocess_ms,std_resize_and_preprocess_ms,min_resize_and_preprocess_ms,max_resize_and_preprocess_ms,mean_batch_construction_ms,std_batch_construction_ms,min_batch_construction_ms,max_batch_construction_ms,mean_model_inference_ms,std_model_inference_ms,min_model_inference_ms,max_model_inference_ms,mean_majority_vote_ms,std_majority_vote_ms,min_majority_vote_ms,max_majority_vote_ms,mean_total_ms,std_total_ms,min_total_ms,max_total_ms
mobilenet_v2,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",SmokeFire_unified,8120,97.75,98.4,98.67,98.54,5.32,1.33,6156,100,83,1781,0.218,0.027,0.188,1.252,0.005,0.002,0.003,0.148,0.05,0.009,0.04,0.365,4.518,1.915,1.895,21.147,1.825,1.311,0.782,9.251,24.256,5.351,17.72,54.66,1.594,0.931,1.154,8.493,34.816,6.936,24.75,71.388
mobilenet_v2,pytorch,FP32,raw,1,raw,SmokeFire_unified,8120,78.25,97.94,73.23,83.8,5.1,26.77,4569,96,1670,1785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.69,0.869,2.856,9.708,0.975,0.782,0.433,6.063,19.689,3.268,17.579,230.958,2.073,1.493,1.041,9.463,28.751,4.709,24.305,242.867
mobilenet_v2,tensorrt,FP16,crops,1,[1.4142],SmokeFire_unified,8120,97.88,98.57,98.67,98.62,4.73,1.33,6156,89,83,1792,0.214,0.04,0.182,1.151,0.004,0.002,0.002,0.068,0.032,0.009,0.024,0.384,1.903,0.887,0.799,8.991,1.161,0.949,0.477,6.229,4.693,1.06,3.912,12.761,0.244,0.063,0.197,1.814,8.468,2.306,6.09,21.567
mobilenet_v2,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",SmokeFire_unified,8120,97.76,98.42,98.67,98.54,5.26,1.33,6156,99,83,1782,0.233,0.055,0.18,0.941,0.005,0.002,0.002,0.11,0.051,0.018,0.039,0.632,4.672,2.175,1.814,33.729,1.821,1.404,0.776,9.943,7.987,1.819,4.263,20.189,0.264,0.06,0.21,0.894,15.463,4.403,8.292,45.336
mobilenet_v2,tensorrt,FP16,raw,1,raw,SmokeFire_unified,8120,78.19,97.98,73.12,83.74,5.0,26.88,4562,94,1677,1787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.904,0.999,2.88,10.007,0.945,0.737,0.436,6.318,4.721,1.042,2.844,12.458,0.253,0.069,0.192,1.129,10.065,2.287,7.216,24.5
resnet18,int8,INT8,crops,1,[1.4142],SmokeFire_unified,8120,98.49,98.87,99.17,99.02,3.77,0.83,6187,71,52,1810,0.212,0.033,0.179,0.954,0.004,0.002,0.003,0.053,0.032,0.008,0.023,0.188,1.878,0.87,0.822,10.05,1.17,0.951,0.471,6.409,3.37,0.56,2.825,8.887,0.238,0.061,0.19,1.325,7.124,1.927,4.977,19.601
resnet18,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",SmokeFire_unified,8120,97.99,98.22,99.18,98.7,5.95,0.82,6188,112,51,1769,0.216,0.041,0.188,1.076,0.004,0.003,0.002,0.116,0.048,0.01,0.038,0.382,4.574,2.1,1.846,22.982,1.786,1.384,0.768,11.845,4.806,1.129,4.041,12.438,0.241,0.052,0.2,1.116,12.091,3.849,7.926,35.244
resnet18,int8,INT8,raw,1,raw,SmokeFire_unified,8120,77.19,97.99,71.79,82.87,4.89,28.21,4479,92,1760,1789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.745,0.873,2.883,11.16,0.926,0.717,0.44,8.597,3.305,0.427,2.84,9.345,0.237,0.062,0.193,1.198,8.454,1.699,6.808,21.123
resnet18,pytorch,FP32,crops,1,[1.4142],SmokeFire_unified,8120,98.42,98.85,99.1,98.98,3.83,0.9,6183,72,56,1809,0.215,0.024,0.185,0.665,0.004,0.004,0.002,0.385,0.032,0.007,0.024,0.201,1.784,0.82,0.837,9.317,1.025,0.818,0.481,11.691,15.208,4.33,10.074,65.574,2.25,1.908,1.028,8.981,21.709,5.849,14.074,79.591
resnet18,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",SmokeFire_unified,8120,97.97,98.24,99.13,98.68,5.9,0.87,6185,111,54,1770,0.225,0.031,0.197,1.485,0.005,0.002,0.003,0.056,0.052,0.011,0.041,0.511,4.947,2.556,1.896,21.694,2.102,1.826,0.8,14.147,25.526,6.027,15.634,46.945,1.808,0.972,1.18,8.054,36.2,8.307,21.757,73.109
resnet18,pytorch,FP32,raw,1,raw,SmokeFire_unified,8120,76.55,98.07,70.88,82.29,4.63,29.12,4422,87,1817,1794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.723,0.741,2.901,14.23,0.936,0.686,0.483,4.859,19.886,6.417,9.985,102.468,1.94,1.384,1.045,8.706,27.838,7.44,15.866,119.733
