run,n_before,n_after,n_dropped,f1_before,f1_after,recall_before,recall_after,precision_before,precision_after,fpr_before,fpr_after,acc_before,acc_after,TP_after,FP_after,FN_after,TN_after
resnet50_tensorrt_crops3,2592,2289,303,75.86,84.18,64.86,78.05,91.36,91.36,13.77,13.77,71.45,80.91,1163,110,327,689
resnet50_tensorrt_raw,2592,2289,303,26.57,31.09,15.45,18.59,94.86,94.86,1.88,1.88,40.93,46.35,277,15,1213,784
vgg16_int8_crops1,2592,2289,303,82.33,91.21,71.44,85.97,97.12,97.12,4.76,4.76,78.78,89.21,1281,38,209,761
vgg16_int8_crops3,2592,2289,303,81.61,90.33,71.39,85.91,95.24,95.24,8.01,8.01,77.74,88.03,1280,64,210,735
vgg16_int8_raw,2592,2289,303,34.55,40.04,21.31,25.64,91.39,91.39,4.51,4.51,44.17,50.02,382,36,1108,763
vgg16_pytorch_crops1,2592,2289,303,83.01,91.91,72.5,87.25,97.09,97.09,4.88,4.88,79.48,90.0,1300,39,190,760
vgg16_pytorch_crops3,2592,2289,303,82.38,91.13,72.5,87.25,95.38,95.38,7.88,7.88,78.55,88.95,1300,63,190,736
vgg16_pytorch_raw,2592,2289,303,39.19,45.21,24.87,29.93,92.34,92.34,4.63,4.63,46.6,52.77,446,37,1044,762
vgg16_tensorrt_crops1,2592,2289,303,82.98,91.87,72.45,87.18,97.09,97.09,4.88,4.88,79.44,89.95,1299,39,191,760
vgg16_tensorrt_crops3,2592,2289,303,82.42,91.17,72.56,87.32,95.38,95.38,7.88,7.88,78.59,88.99,1301,63,189,736
vgg16_tensorrt_raw,2592,2289,303,39.19,45.21,24.87,29.93,92.34,92.34,4.63,4.63,46.6,52.77,446,37,1044,762
