model,backend,precision,crop_mode,num_crops,crop_factors,dataset,num_images,accuracy,fire_precision,fire_recall,fire_f1,fpr,fnr,TP,FP,FN,TN,mean_input_and_metadata_ms,std_input_and_metadata_ms,min_input_and_metadata_ms,max_input_and_metadata_ms,mean_region_validation_ms,std_region_validation_ms,min_region_validation_ms,max_region_validation_ms,mean_crop_extraction_ms,std_crop_extraction_ms,min_crop_extraction_ms,max_crop_extraction_ms,mean_resize_and_preprocess_ms,std_resize_and_preprocess_ms,min_resize_and_preprocess_ms,max_resize_and_preprocess_ms,mean_batch_construction_ms,std_batch_construction_ms,min_batch_construction_ms,max_batch_construction_ms,mean_model_inference_ms,std_model_inference_ms,min_model_inference_ms,max_model_inference_ms,mean_majority_vote_ms,std_majority_vote_ms,min_majority_vote_ms,max_majority_vote_ms,mean_total_ms,std_total_ms,min_total_ms,max_total_ms,dataset_folder,run_folder
resnet18,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeNEWdataset,1987,96.07,95.23,99.1,97.13,10.05,0.9,1318,66,12,591,0.252,0.096,0.191,3.156,0.006,0.002,0.003,0.052,0.054,0.029,0.04,0.686,4.679,2.147,2.012,14.523,1.894,1.437,0.768,8.99,8.358,1.914,6.876,17.252,0.28,0.072,0.207,0.818,15.969,4.546,10.699,33.875,FireSmokeNEWdataset,resnet18_tensorrt_crops3
vgg16,int8,INT8,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeNEWdataset,1987,97.43,96.99,99.25,98.1,6.24,0.75,1320,41,10,616,0.237,0.035,0.19,0.608,0.006,0.009,0.003,0.378,0.037,0.011,0.025,0.38,1.995,0.947,0.912,8.146,1.198,0.973,0.542,5.511,12.349,3.185,5.959,26.802,0.287,0.069,0.208,2.103,16.356,4.294,8.249,35.855,FireSmokeNEWdataset,vgg16_int8_crops1
resnet34,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeNEWdataset,1987,93.31,91.65,99.02,95.19,18.26,0.98,1317,120,13,537,0.223,0.022,0.198,0.588,0.005,0.002,0.002,0.048,0.051,0.011,0.041,0.345,4.689,2.109,2.123,21.019,1.951,1.526,0.816,10.762,30.604,4.885,25.857,51.814,1.628,0.803,1.176,6.269,40.961,7.078,32.183,85.901,FireSmokeNEWdataset,resnet34_pytorch_crops3
resnet34,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeNEWdataset,1987,93.36,91.66,99.1,95.23,18.26,0.9,1318,120,12,537,0.311,0.081,0.191,1.045,0.006,0.004,0.003,0.119,0.065,0.024,0.04,0.653,5.852,2.767,2.158,28.022,2.334,1.67,0.85,9.543,15.229,4.329,6.429,31.14,0.386,0.116,0.226,2.548,24.72,6.83,10.974,50.046,FireSmokeNEWdataset,resnet34_tensorrt_crops3
mobilenet_v2,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeNEWdataset,1987,96.23,95.37,99.17,97.24,9.74,0.83,1319,64,11,593,0.226,0.058,0.189,1.004,0.005,0.002,0.002,0.065,0.049,0.011,0.038,0.23,4.582,2.021,1.899,14.002,1.836,1.381,0.769,8.559,6.025,1.22,5.177,14.208,0.258,0.075,0.21,2.203,13.403,3.812,9.32,33.239,FireSmokeNEWdataset,mobilenet_v2_int8_crops3
resnet18,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeNEWdataset,1987,96.12,95.3,99.1,97.16,9.89,0.9,1318,65,12,592,0.226,0.04,0.197,1.485,0.005,0.001,0.003,0.027,0.054,0.017,0.041,0.511,5.735,3.425,1.966,21.694,2.983,2.574,0.823,14.147,25.37,5.589,15.656,46.945,1.992,1.1,1.193,8.054,37.928,9.325,21.898,73.109,FireSmokeNEWdataset,resnet18_pytorch_crops3
resnet34,int8,INT8,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeNEWdataset,1987,77.81,93.28,72.03,81.29,10.5,27.97,958,69,372,588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.078,0.996,2.879,11.208,0.954,0.716,0.457,4.495,5.096,1.131,4.254,11.505,0.251,0.055,0.203,0.773,10.621,2.263,8.323,22.412,FireSmokeNEWdataset,resnet34_int8_raw
resnet34,int8,INT8,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeNEWdataset,1987,94.16,92.87,98.87,95.78,15.37,1.13,1315,101,15,556,0.21,0.043,0.18,0.945,0.004,0.002,0.003,0.045,0.032,0.007,0.024,0.104,1.906,0.878,0.815,6.913,1.129,0.92,0.49,6.891,5.077,1.196,4.316,12.726,0.242,0.053,0.197,0.972,8.817,2.346,6.43,22.626,FireSmokeNEWdataset,resnet34_int8_crops1
resnet18,pytorch,FP32,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeNEWdataset,1987,75.84,95.12,67.37,78.87,7.0,32.63,896,46,434,611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.753,0.772,2.941,14.23,0.97,0.707,0.5,4.303,19.676,6.41,10.194,51.641,2.014,1.448,1.095,7.718,27.765,7.425,16.102,71.127,FireSmokeNEWdataset,resnet18_pytorch_raw
alexnet,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeNEWdataset,1987,92.5,90.58,99.1,94.65,20.85,0.9,1318,137,12,520,0.213,0.029,0.189,0.591,0.004,0.001,0.002,0.042,0.047,0.009,0.039,0.19,3.714,1.552,2.087,20.442,1.192,0.685,0.781,6.243,5.2,0.574,4.894,14.885,0.229,0.022,0.203,0.457,10.992,2.17,8.836,28.736,FireSmokeNEWdataset,alexnet_int8_crops3
alexnet,pytorch,FP32,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeNEWdataset,1987,94.82,93.48,99.17,96.24,14.0,0.83,1319,92,11,565,0.237,0.033,0.185,0.661,0.005,0.002,0.003,0.088,0.036,0.014,0.025,0.444,1.73,0.813,0.903,8.569,0.812,0.498,0.555,4.093,15.799,3.287,13.382,46.402,2.492,1.826,1.087,7.76,22.094,4.635,17.391,52.914,FireSmokeNEWdataset,alexnet_pytorch_crops1
mobilenet_v2,int8,INT8,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeNEWdataset,1987,81.68,94.07,77.52,85.0,9.89,22.48,1031,65,299,592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.911,0.939,2.892,8.663,0.978,0.75,0.465,6.155,4.324,1.075,3.548,10.879,0.25,0.06,0.202,1.055,9.706,2.238,7.477,19.673,FireSmokeNEWdataset,mobilenet_v2_int8_raw
mobilenet_v2,int8,INT8,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeNEWdataset,1987,96.73,96.13,99.1,97.59,8.07,0.9,1318,53,12,604,0.211,0.054,0.18,2.077,0.004,0.002,0.003,0.047,0.032,0.011,0.024,0.36,1.889,0.881,0.843,5.805,1.167,0.964,0.482,5.935,4.363,1.204,3.622,12.206,0.244,0.054,0.194,0.949,8.125,2.367,5.716,19.682,FireSmokeNEWdataset,mobilenet_v2_int8_crops1
resnet34,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeNEWdataset,1987,93.11,91.39,99.02,95.06,18.87,0.98,1317,124,13,533,0.242,0.062,0.188,0.953,0.005,0.003,0.003,0.081,0.053,0.02,0.04,0.618,4.682,2.048,1.779,22.12,1.911,1.424,0.781,11.496,7.47,1.82,6.233,16.843,0.275,0.073,0.211,0.934,15.074,4.297,9.853,34.774,FireSmokeNEWdataset,resnet34_int8_crops3
mobilenet_v2,pytorch,FP32,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeNEWdataset,1987,78.11,95.25,70.83,81.24,7.15,29.17,942,47,388,610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.713,0.853,2.856,8.191,0.998,0.819,0.433,6.063,19.415,2.625,17.579,89.383,2.217,1.742,1.041,8.03,28.686,4.318,24.305,101.173,FireSmokeNEWdataset,mobilenet_v2_pytorch_raw
resnet34,tensorrt,FP16,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeNEWdataset,1987,78.16,93.5,72.41,81.61,10.2,27.59,963,67,367,590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.976,1.254,2.894,9.591,1.123,0.759,0.463,5.173,7.97,1.827,4.015,17.975,0.315,0.09,0.204,1.665,14.672,3.069,8.049,27.89,FireSmokeNEWdataset,resnet34_tensorrt_raw
vgg16,tensorrt,FP16,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeNEWdataset,1987,97.28,96.77,99.25,98.0,6.7,0.75,1320,44,10,613,0.259,0.043,0.192,0.937,0.006,0.003,0.003,0.078,0.042,0.016,0.027,0.424,2.405,1.306,0.941,11.519,1.768,1.494,0.562,9.753,20.907,6.413,10.789,47.083,0.33,0.084,0.231,1.89,25.992,7.344,13.42,57.087,FireSmokeNEWdataset,vgg16_tensorrt_crops1
resnet50,tensorrt,FP16,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeNEWdataset,1987,98.14,98.21,99.02,98.61,3.65,0.98,1317,24,13,633,0.266,0.07,0.176,1.072,0.005,0.002,0.002,0.037,0.039,0.011,0.025,0.147,2.264,1.16,0.835,12.03,1.247,0.896,0.486,4.822,10.102,2.357,4.86,24.017,0.319,0.081,0.21,0.9,14.498,3.503,7.104,31.035,FireSmokeNEWdataset,resnet50_tensorrt_crops1
resnet50,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeNEWdataset,1987,97.38,96.99,99.17,98.07,6.24,0.83,1319,41,11,616,0.249,0.039,0.196,0.716,0.005,0.002,0.003,0.041,0.061,0.019,0.043,0.493,4.966,2.304,2.166,26.706,2.088,1.706,0.826,10.049,19.292,5.954,8.627,40.771,0.335,0.08,0.231,1.839,27.487,7.672,13.213,64.958,FireSmokeNEWdataset,resnet50_tensorrt_crops3
vgg16,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeNEWdataset,1987,95.82,94.76,99.25,96.95,11.11,0.75,1320,73,10,584,0.265,0.038,0.2,0.914,0.005,0.002,0.003,0.056,0.067,0.017,0.044,0.454,5.213,2.413,2.32,20.365,2.249,1.906,0.906,10.484,22.89,7.427,10.476,49.8,0.328,0.063,0.24,1.342,31.527,8.966,15.144,69.176,FireSmokeNEWdataset,vgg16_int8_crops3
resnet18,tensorrt,FP16,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeNEWdataset,1987,75.74,95.11,67.22,78.77,7.0,32.78,894,46,436,611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.232,1.083,2.898,10.413,1.004,0.749,0.447,5.056,5.219,1.238,4.283,12.199,0.265,0.086,0.2,2.658,10.973,2.453,8.299,22.355,FireSmokeNEWdataset,resnet18_tensorrt_raw
mobilenet_v2,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeNEWdataset,1987,96.88,96.21,99.25,97.71,7.91,0.75,1320,52,10,605,0.218,0.023,0.191,0.64,0.005,0.004,0.003,0.148,0.05,0.008,0.042,0.214,4.362,1.861,1.895,21.147,1.798,1.294,0.782,8.208,24.205,5.443,17.72,54.66,1.587,0.928,1.154,6.93,34.581,7.01,24.75,71.388,FireSmokeNEWdataset,mobilenet_v2_pytorch_crops3
mobilenet_v2,tensorrt,FP16,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeNEWdataset,1987,97.28,96.77,99.25,98.0,6.7,0.75,1320,44,10,613,0.211,0.036,0.185,0.897,0.004,0.001,0.003,0.051,0.032,0.01,0.024,0.384,1.963,0.943,0.808,8.991,1.211,0.977,0.479,6.229,4.708,1.08,4.014,11.394,0.247,0.067,0.199,1.814,8.589,2.324,6.176,19.236,FireSmokeNEWdataset,mobilenet_v2_tensorrt_crops1
alexnet,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeNEWdataset,1987,92.9,91.09,99.1,94.92,19.63,0.9,1318,129,12,528,0.244,0.035,0.202,0.932,0.005,0.002,0.003,0.053,0.058,0.01,0.042,0.187,4.49,2.286,2.137,17.532,1.764,1.478,0.931,11.077,21.418,6.429,9.223,44.03,1.917,0.819,1.267,8.042,31.203,7.918,15.569,66.849,FireSmokeNEWdataset,alexnet_pytorch_crops3
mobilenet_v2,tensorrt,FP16,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeNEWdataset,1987,78.01,95.24,70.68,81.14,7.15,29.32,940,47,390,610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.958,1.017,2.896,8.657,0.961,0.765,0.461,6.318,4.75,1.081,3.954,11.833,0.258,0.072,0.203,0.949,10.17,2.338,8.044,22.541,FireSmokeNEWdataset,mobilenet_v2_tensorrt_raw
resnet18,int8,INT8,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeNEWdataset,1987,76.2,94.96,68.05,79.28,7.31,31.95,905,48,425,609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.737,0.852,2.884,11.16,0.941,0.728,0.458,5.764,3.305,0.466,2.856,9.345,0.236,0.057,0.193,1.148,8.456,1.696,6.938,17.907,FireSmokeNEWdataset,resnet18_int8_raw
resnet18,int8,INT8,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeNEWdataset,1987,97.38,97.12,99.02,98.06,5.94,0.98,1317,39,13,618,0.208,0.028,0.179,0.765,0.004,0.002,0.003,0.053,0.032,0.007,0.023,0.175,1.915,0.932,0.822,7.819,1.18,0.958,0.471,6.199,3.36,0.553,2.838,8.504,0.237,0.06,0.19,0.907,7.155,1.968,4.99,17.132,FireSmokeNEWdataset,resnet18_int8_crops1
resnet34,pytorch,FP32,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeNEWdataset,1987,94.21,92.87,98.95,95.81,15.37,1.05,1316,101,14,556,0.209,0.02,0.181,0.542,0.004,0.001,0.003,0.013,0.033,0.011,0.025,0.399,1.759,0.827,0.856,5.407,1.02,0.798,0.515,7.041,23.735,4.224,18.406,57.783,1.438,0.844,1.058,6.605,29.626,5.451,22.784,67.046,FireSmokeNEWdataset,resnet34_pytorch_crops1
resnet50,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeNEWdataset,1987,97.23,96.84,99.1,97.96,6.54,0.9,1318,43,12,614,0.254,0.061,0.187,0.647,0.006,0.008,0.002,0.338,0.055,0.018,0.04,0.408,4.863,2.126,1.883,21.911,1.999,1.439,0.839,11.795,10.689,2.673,5.275,23.83,0.312,0.09,0.216,1.229,18.652,4.94,10.15,39.997,FireSmokeNEWdataset,resnet50_int8_crops3
resnet50,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeNEWdataset,1987,97.38,96.99,99.17,98.07,6.24,0.83,1319,41,11,616,0.227,0.024,0.2,0.564,0.004,0.001,0.003,0.044,0.052,0.012,0.042,0.394,4.801,2.024,1.87,13.402,1.996,1.505,0.85,8.786,44.932,5.54,39.064,62.334,1.663,0.741,1.205,6.972,55.792,6.842,45.719,78.673,FireSmokeNEWdataset,resnet50_pytorch_crops3
mobilenet_v2,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeNEWdataset,1987,96.88,96.21,99.25,97.71,7.91,0.75,1320,52,10,605,0.235,0.058,0.185,0.903,0.005,0.002,0.002,0.042,0.052,0.02,0.039,0.632,4.523,2.138,1.825,33.729,1.814,1.404,0.776,8.418,8.066,1.87,4.288,18.849,0.266,0.062,0.211,0.894,15.393,4.399,8.338,45.336,FireSmokeNEWdataset,mobilenet_v2_tensorrt_crops3
alexnet,tensorrt,FP16,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeNEWdataset,1987,94.82,93.48,99.17,96.24,14.0,0.83,1319,92,11,565,0.206,0.036,0.173,0.915,0.004,0.002,0.002,0.055,0.031,0.006,0.024,0.13,1.677,0.76,0.823,7.048,0.793,0.513,0.491,3.931,6.579,0.99,6.008,14.867,0.23,0.024,0.196,0.529,9.726,1.576,8.179,24.769,FireSmokeNEWdataset,alexnet_tensorrt_crops1
alexnet,pytorch,FP32,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeNEWdataset,1987,79.11,90.31,77.07,83.16,16.74,22.93,1025,110,305,547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.671,0.528,3.027,8.995,0.782,0.485,0.512,5.48,17.469,5.15,7.923,45.897,1.694,0.491,1.151,7.11,24.718,5.421,16.947,55.565,FireSmokeNEWdataset,alexnet_pytorch_raw
vgg16,int8,INT8,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,44.17,91.39,21.31,34.55,4.51,78.69,382,36,1411,763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.997,1.251,2.886,13.791,0.997,0.807,0.437,5.157,12.0,2.582,6.02,27.808,0.257,0.061,0.198,1.17,17.495,3.842,10.679,40.587,IAI_Datasets,vgg16_int8_raw
alexnet,tensorrt,FP16,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,42.13,92.46,17.79,29.84,3.25,82.21,319,26,1474,773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.692,1.284,2.871,15.737,0.659,0.413,0.46,4.193,6.574,0.735,6.145,12.665,0.235,0.035,0.194,0.489,11.39,1.952,10.066,24.227,IAI_Datasets,alexnet_tensorrt_raw
resnet34,tensorrt,FP16,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,76.12,94.34,69.66,80.14,9.39,30.34,1249,75,544,724,0.216,0.034,0.183,0.959,0.006,0.002,0.003,0.063,0.032,0.021,0.024,0.618,2.152,1.138,0.826,14.938,1.262,1.084,0.473,6.018,7.234,1.459,6.319,16.124,0.252,0.051,0.199,0.727,11.376,2.895,8.343,31.141,IAI_Datasets,resnet34_tensorrt_crops1
resnet50,int8,INT8,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,74.07,96.75,64.7,77.54,4.88,35.3,1160,39,633,760,0.215,0.035,0.188,1.04,0.005,0.002,0.003,0.067,0.032,0.006,0.026,0.145,2.324,1.279,0.844,10.504,1.35,1.159,0.489,9.993,6.153,1.2,5.291,13.645,0.256,0.062,0.199,0.904,10.56,2.895,7.521,24.095,IAI_Datasets,resnet50_int8_crops1
resnet18,tensorrt,FP16,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,74.27,97.15,64.7,77.67,4.26,35.3,1160,34,633,765,0.217,0.033,0.183,1.016,0.006,0.011,0.003,0.571,0.033,0.021,0.024,0.644,2.169,0.964,0.841,7.095,1.374,1.172,0.476,8.262,5.076,1.114,4.302,13.796,0.257,0.064,0.198,0.902,9.358,2.658,6.465,23.674,IAI_Datasets,resnet18_tensorrt_crops1
vgg16,pytorch,FP32,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,46.6,92.34,24.87,39.19,4.63,75.13,446,37,1347,762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.227,1.348,2.885,11.685,1.08,0.762,0.475,7.225,53.895,9.781,38.219,312.175,1.742,0.868,1.116,7.566,62.069,10.63,44.69,322.926,IAI_Datasets,vgg16_pytorch_raw
vgg16,pytorch,FP32,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,79.48,97.09,72.5,83.01,4.88,27.5,1300,39,493,760,0.216,0.024,0.192,0.642,0.005,0.002,0.002,0.046,0.032,0.005,0.024,0.122,2.076,0.89,0.912,8.233,1.194,0.907,0.49,5.419,51.647,8.781,39.711,93.44,1.669,0.788,1.097,7.371,57.877,9.59,44.114,108.336,IAI_Datasets,vgg16_pytorch_crops1
resnet50,pytorch,FP32,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,73.84,95.96,64.92,77.45,6.13,35.08,1164,49,629,750,0.22,0.034,0.194,0.97,0.005,0.003,0.003,0.142,0.033,0.006,0.025,0.102,2.107,1.01,0.868,16.246,1.228,1.031,0.487,6.857,35.085,6.388,21.758,105.336,1.54,0.77,1.108,7.807,42.114,7.654,26.823,112.11,IAI_Datasets,resnet50_pytorch_crops1
resnet50,tensorrt,FP16,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,40.93,94.86,15.45,26.57,1.88,84.55,277,15,1516,784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.021,1.308,2.883,12.656,1.031,0.834,0.458,5.074,9.186,1.738,8.094,19.348,0.254,0.047,0.203,0.78,14.734,3.087,12.211,31.643,IAI_Datasets,resnet50_tensorrt_raw
mobilenet_v2,pytorch,FP32,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,72.49,94.93,63.64,76.19,7.63,36.36,1141,61,652,738,0.222,0.038,0.188,1.139,0.005,0.001,0.003,0.016,0.032,0.012,0.025,0.594,2.138,0.997,0.881,12.266,1.268,1.081,0.493,7.119,19.022,1.938,18.024,97.346,1.545,1.103,1.077,7.659,26.571,3.885,22.96,105.237,IAI_Datasets,mobilenet_v2_pytorch_crops1
resnet34,pytorch,FP32,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,49.0,90.39,29.39,44.36,7.01,70.61,527,56,1266,743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.153,1.61,2.897,14.046,1.015,0.797,0.476,6.889,33.273,6.196,18.149,62.452,1.703,0.782,1.088,7.447,41.88,7.474,24.626,74.154,IAI_Datasets,resnet34_pytorch_raw
vgg16,tensorrt,FP16,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,46.6,92.34,24.87,39.19,4.63,75.13,446,37,1347,762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.179,1.221,2.868,13.567,1.138,0.824,0.463,6.071,26.12,7.03,10.697,55.997,0.365,0.083,0.205,1.073,32.073,7.957,14.892,66.883,IAI_Datasets,vgg16_tensorrt_raw
resnet18,pytorch,FP32,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,74.27,97.15,64.7,77.67,4.26,35.3,1160,34,633,765,0.218,0.033,0.187,0.963,0.005,0.002,0.003,0.066,0.033,0.007,0.025,0.145,2.188,1.087,0.87,8.603,1.256,1.057,0.499,6.862,18.407,4.07,10.18,51.286,1.515,0.977,1.082,7.968,24.978,5.83,14.307,58.955,IAI_Datasets,resnet18_pytorch_crops1
resnet50,int8,INT8,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,40.47,95.29,14.67,25.42,1.63,85.33,263,13,1530,786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.28,1.68,2.872,15.487,1.051,0.839,0.428,5.388,6.159,1.196,5.342,14.175,0.257,0.057,0.201,0.832,11.991,2.922,9.336,27.885,IAI_Datasets,resnet50_int8_raw
alexnet,int8,INT8,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,76.04,96.21,68.04,79.71,6.01,31.96,1220,48,573,751,0.22,0.029,0.188,0.534,0.005,0.002,0.003,0.058,0.033,0.008,0.024,0.133,1.899,0.983,0.897,19.239,0.822,0.618,0.496,5.031,4.555,0.694,4.032,9.934,0.241,0.05,0.194,0.968,7.991,1.751,6.173,26.318,IAI_Datasets,alexnet_int8_crops1
resnet18,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,72.34,94.61,63.64,76.09,8.14,36.36,1141,65,652,734,0.215,0.029,0.18,0.887,0.005,0.002,0.003,0.068,0.049,0.014,0.039,0.624,5.197,2.736,1.771,25.48,1.868,1.563,0.778,9.75,4.833,1.021,4.096,11.827,0.249,0.049,0.205,0.981,12.844,4.472,7.716,33.389,IAI_Datasets,resnet18_int8_crops3
alexnet,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,76.16,96.3,68.15,79.82,5.88,31.85,1222,47,571,752,0.212,0.023,0.189,0.756,0.005,0.002,0.003,0.075,0.047,0.007,0.035,0.134,4.239,2.058,1.856,20.583,1.185,0.664,0.794,6.73,7.492,0.693,7.087,13.437,0.236,0.026,0.208,0.672,13.819,2.709,11.082,33.601,IAI_Datasets,alexnet_tensorrt_crops3
vgg16,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,78.59,95.38,72.56,82.42,7.88,27.44,1301,63,492,736,0.22,0.031,0.192,0.66,0.005,0.002,0.003,0.08,0.049,0.012,0.04,0.397,5.037,2.42,1.826,20.651,1.888,1.507,0.773,12.317,39.696,6.218,19.94,75.388,0.31,0.065,0.216,0.8,47.63,8.015,25.522,91.442,IAI_Datasets,vgg16_tensorrt_crops3
