model,backend,precision,crop_mode,num_crops,crop_factors,dataset,num_images,accuracy,fire_precision,fire_recall,fire_f1,fpr,fnr,TP,FP,FN,TN,mean_input_and_metadata_ms,std_input_and_metadata_ms,min_input_and_metadata_ms,max_input_and_metadata_ms,mean_region_validation_ms,std_region_validation_ms,min_region_validation_ms,max_region_validation_ms,mean_crop_extraction_ms,std_crop_extraction_ms,min_crop_extraction_ms,max_crop_extraction_ms,mean_resize_and_preprocess_ms,std_resize_and_preprocess_ms,min_resize_and_preprocess_ms,max_resize_and_preprocess_ms,mean_batch_construction_ms,std_batch_construction_ms,min_batch_construction_ms,max_batch_construction_ms,mean_model_inference_ms,std_model_inference_ms,min_model_inference_ms,max_model_inference_ms,mean_majority_vote_ms,std_majority_vote_ms,min_majority_vote_ms,max_majority_vote_ms,mean_total_ms,std_total_ms,min_total_ms,max_total_ms
mobilenet_v2,int8,INT8,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2289,45.17,80.84,20.67,32.92,9.14,79.33,308,73,1182,726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.245,1.534,2.86,18.18,1.05,0.821,0.454,5.157,4.28,1.027,3.682,11.154,0.259,0.07,0.205,1.009,10.076,2.648,7.587,27.196
mobilenet_v2,pytorch,FP32,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2289,82.09,94.93,76.58,84.77,7.63,23.42,1141,61,349,738,0.222,0.038,0.188,1.139,0.005,0.001,0.003,0.016,0.032,0.012,0.025,0.594,2.138,0.997,0.881,12.266,1.268,1.081,0.493,7.119,19.022,1.938,18.024,97.346,1.545,1.103,1.077,7.659,26.571,3.885,22.96,105.237
mobilenet_v2,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2289,78.9,89.8,76.24,82.47,16.15,23.76,1136,129,354,670,0.221,0.038,0.194,1.114,0.005,0.002,0.003,0.055,0.05,0.009,0.041,0.158,5.284,2.38,1.898,24.274,2.025,1.563,0.811,8.142,28.67,5.469,18.142,52.512,1.583,0.866,1.207,8.047,40.488,7.713,25.275,72.132
mobilenet_v2,pytorch,FP32,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2289,45.65,82.37,21.01,33.48,8.39,78.99,313,67,1177,732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.102,1.401,2.893,14.681,1.026,0.811,0.474,5.51,18.949,1.912,17.901,91.875,1.545,1.072,1.09,7.982,28.021,3.826,24.79,106.132
mobilenet_v2,tensorrt,FP16,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2289,82.09,94.93,76.58,84.77,7.63,23.42,1141,61,349,738,0.216,0.033,0.186,1.003,0.004,0.001,0.003,0.045,0.033,0.011,0.024,0.496,2.145,1.066,0.812,16.737,1.279,1.116,0.465,5.754,4.725,1.064,3.914,12.09,0.261,0.063,0.197,0.896,8.889,2.683,6.12,24.383
mobilenet_v2,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2289,78.86,89.73,76.24,82.44,16.27,23.76,1136,130,354,669,0.215,0.026,0.189,0.627,0.005,0.001,0.003,0.043,0.049,0.009,0.04,0.147,5.185,2.61,1.831,16.387,1.845,1.48,0.785,10.694,7.676,1.371,6.675,17.289,0.248,0.039,0.208,0.701,15.648,4.446,10.45,35.096
mobilenet_v2,tensorrt,FP16,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2289,45.65,82.54,20.94,33.4,8.26,79.06,312,66,1178,733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.059,1.216,2.895,11.129,1.028,0.816,0.447,5.017,4.679,0.938,3.986,12.308,0.261,0.062,0.201,0.901,10.272,2.379,8.039,23.141
resnet18,int8,INT8,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2289,83.49,97.44,76.64,85.8,3.75,23.36,1142,30,348,769,0.218,0.035,0.189,1.117,0.004,0.002,0.002,0.065,0.032,0.006,0.023,0.108,2.131,1.128,0.843,13.755,1.215,1.044,0.493,6.5,3.367,0.558,2.941,8.821,0.246,0.071,0.189,0.976,7.436,2.24,5.052,21.057
resnet18,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2289,81.91,94.61,76.58,84.64,8.14,23.42,1141,65,349,734,0.215,0.029,0.18,0.887,0.005,0.002,0.003,0.068,0.049,0.014,0.039,0.624,5.197,2.736,1.771,25.48,1.868,1.563,0.778,9.75,4.833,1.021,4.096,11.827,0.249,0.049,0.205,0.981,12.844,4.472,7.716,33.389
resnet18,int8,INT8,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2289,41.15,87.05,11.28,19.96,3.13,88.72,168,25,1322,774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.991,1.25,2.896,15.969,0.977,0.787,0.467,4.752,3.382,0.502,2.864,8.583,0.251,0.076,0.196,1.013,8.844,2.056,6.903,22.006
