model,backend,precision,crop_mode,num_crops,crop_factors,dataset_view,num_images,accuracy,fire_precision,fire_recall,fire_f1,fpr,fnr,TP,FP,FN,TN,mean_input_and_metadata_ms,std_input_and_metadata_ms,min_input_and_metadata_ms,max_input_and_metadata_ms,mean_region_validation_ms,std_region_validation_ms,min_region_validation_ms,max_region_validation_ms,mean_crop_extraction_ms,std_crop_extraction_ms,min_crop_extraction_ms,max_crop_extraction_ms,mean_resize_and_preprocess_ms,std_resize_and_preprocess_ms,min_resize_and_preprocess_ms,max_resize_and_preprocess_ms,mean_batch_construction_ms,std_batch_construction_ms,min_batch_construction_ms,max_batch_construction_ms,mean_model_inference_ms,std_model_inference_ms,min_model_inference_ms,max_model_inference_ms,mean_majority_vote_ms,std_majority_vote_ms,min_majority_vote_ms,max_majority_vote_ms,mean_total_ms,std_total_ms,min_total_ms,max_total_ms
alexnet,int8,INT8,raw,1,raw,FireSmoke,6133,84.58,97.51,82.85,89.58,8.5,17.15,4067,104,842,1120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.339,0.505,2.874,7.917,0.653,0.402,0.465,3.799,4.38,0.46,4.028,9.815,0.223,0.021,0.201,0.847,8.823,1.019,8.03,18.324
alexnet,int8,INT8,raw,1,raw,FireSmokeNEW,1987,78.56,89.44,77.07,82.79,18.42,22.93,1025,121,305,536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.348,0.508,2.88,8.144,0.648,0.421,0.468,3.782,4.387,0.571,4.017,10.907,0.223,0.02,0.199,0.417,8.827,1.067,8.074,17.076
alexnet,int8,INT8,raw,1,raw,SmokeFire_unified,8120,83.10,95.77,81.62,88.13,11.96,18.38,5092,225,1147,1656,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.341,0.506,2.874,8.144,0.652,0.407,0.465,3.799,4.382,0.487,4.017,10.907,0.223,0.021,0.199,0.847,8.824,1.031,8.030,18.324
alexnet,int8,INT8,raw,1,raw,IAI_original,2592,41.71,91.47,17.35,29.16,3.63,82.65,311,29,1482,770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.697,1.207,2.856,18.574,0.671,0.436,0.445,4.0,4.453,0.516,3.935,8.771,0.239,0.048,0.199,0.866,9.296,1.666,8.066,25.316
alexnet,int8,INT8,raw,1,raw,IAI_filtered,2289,47.23,91.47,20.87,33.99,3.63,79.13,311,29,1179,770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.697,1.207,2.856,18.574,0.671,0.436,0.445,4.0,4.453,0.516,3.935,8.771,0.239,0.048,0.199,0.866,9.296,1.666,8.066,25.316
alexnet,pytorch,FP32,crops,1,[1.4142],FireSmoke,6133,98.43,98.82,99.23,99.02,4.74,0.77,4871,58,38,1166,0.24,0.067,0.192,3.459,0.005,0.003,0.003,0.089,0.036,0.011,0.025,0.385,2.209,1.201,0.876,13.79,1.688,1.578,0.499,17.384,15.601,4.135,7.214,35.152,2.593,1.746,1.096,9.202,23.384,6.153,11.243,56.233
alexnet,pytorch,FP32,crops,1,[1.4142],FireSmokeNEW,1987,94.82,93.48,99.17,96.24,14.0,0.83,1319,92,11,565,0.237,0.033,0.185,0.661,0.005,0.002,0.003,0.088,0.036,0.014,0.025,0.444,1.73,0.813,0.903,8.569,0.812,0.498,0.555,4.093,15.799,3.287,13.382,46.402,2.492,1.826,1.087,7.76,22.094,4.635,17.391,52.914
alexnet,pytorch,FP32,crops,1,[1.4142],SmokeFire_unified,8120,97.55,97.63,99.21,98.42,7.97,0.79,6190,150,49,1731,0.239,0.059,0.185,3.459,0.005,0.003,0.003,0.089,0.036,0.012,0.025,0.444,2.092,1.106,0.876,13.790,1.474,1.314,0.499,17.384,15.649,3.927,7.214,46.402,2.568,1.766,1.087,9.202,23.068,5.782,11.243,56.233
alexnet,pytorch,FP32,crops,1,[1.4142],IAI_original,2592,76.23,96.52,68.1,79.86,5.51,31.9,1221,44,572,755,0.221,0.035,0.184,0.973,0.005,0.002,0.003,0.048,0.032,0.007,0.023,0.114,1.91,0.929,0.899,9.07,0.83,0.602,0.484,5.254,14.286,1.178,13.584,33.916,1.338,0.438,1.014,3.591,19.583,2.348,17.266,39.437
alexnet,pytorch,FP32,crops,1,[1.4142],IAI_filtered,2289,86.33,96.52,81.95,88.64,5.51,18.05,1221,44,269,755,0.221,0.035,0.184,0.973,0.005,0.002,0.003,0.048,0.032,0.007,0.023,0.114,1.91,0.929,0.899,9.07,0.83,0.602,0.484,5.254,14.286,1.178,13.584,33.916,1.338,0.438,1.014,3.591,19.583,2.348,17.266,39.437
